N,train_acc,val_acc,fit_time_s
10,1.0,0.38666666666666666,6.11661434173584
20,1.0,0.488,8.36096739768982
30,1.0,0.5453333333333333,10.815635681152344
50,1.0,0.6186666666666667,15.424186706542969
75,1.0,0.6506666666666666,20.08338689804077
100,1.0,0.6786666666666666,24.95641040802002
150,1.0,0.7293333333333333,33.30449676513672
200,1.0,0.7306666666666667,44.520081758499146
300,1.0,0.7493333333333333,74.80620121955872
414,1.0,0.7426666666666667,107.36972141265869
