feature,importance
logmel_d1_06_std,0.0017157586
logmel11_mean,0.0016963345
logmel_d1_53_std,0.0016946123
logmel21_std,0.0016918286
logmel60_mean,0.0016838374
logmel_d2_01_std,0.0016736428
logmel_d1_47_std,0.0016709259
logmel39_mean,0.0016598734
logmel_d1_32_std,0.0016354717
logmel_d1_16_std,0.001609506
logmel_d1_29_std,0.0016093128
logmel_d2_13_std,0.0016076005
logmel_d2_20_std,0.0016073647
logmel56_mean,0.0015940707
logmel29_mean,0.0015771358
logmel41_mean,0.0015710124
logmel_d1_56_std,0.001559689
logmel_d2_10_std,0.0015570793
logmel_d2_62_mean,0.001552586
logmel02_std,0.001544721
logmel_d1_13_std,0.0015442432
logmel_d2_52_mean,0.0015368075
logmel_d2_33_std,0.001531966
logmel_d1_19_std,0.0015283378
logmel_d1_44_std,0.0015196305
logmel_d1_49_std,0.0015171634
logmel_d2_12_std,0.001516876
logmel57_std,0.0015091111
logmel_d2_34_std,0.0015070799
logmel_d1_15_std,0.0015022279
logmel_d1_25_std,0.0015021792
logmel_d1_26_std,0.0015013986
spec_contrast05_std,0.0014944391
logmel_d1_08_std,0.0014876924
logmel05_std,0.0014829295
logmel06_std,0.0014813114
logmel_d2_29_std,0.001472391
logmel_d2_17_std,0.0014666
logmel30_std,0.0014603162
logmel_d2_54_std,0.0014596848
logmel_d2_52_std,0.0014579721
logmel_d2_61_std,0.0014437174
logmel_d1_30_std,0.0014355814
logmel_d1_12_std,0.0014340032
logmel37_std,0.0014274877
logmel27_std,0.0014258858
logmel59_mean,0.0014198233
logmel_d1_14_std,0.0014137274
logmel49_mean,0.0014091333
logmel_d2_04_std,0.001401941
logmel_d2_18_std,0.0013968848
logmel30_mean,0.001396014
logmel_d2_09_std,0.0013909162
logmel_d2_19_std,0.0013792468
logmel44_mean,0.0013754494
logmel_d2_11_mean,0.0013683408
logmel61_mean,0.0013567383
logmel_d2_63_mean,0.0013558075
logmel_d2_03_std,0.0013444423
logmel25_std,0.0013321281
logmel_d2_08_std,0.0013140693
logmel60_std,0.0013046314
logmel_d2_55_std,0.0012877169
logmel_d1_62_std,0.001266435
logmel_d1_37_mean,0.0012637513
logmel_d2_11_std,0.0012491547
logmel58_mean,0.0012442614
logmel48_mean,0.0012345588
logmel_d2_32_mean,0.0012333442
logmel_d1_60_std,0.0012281549
logmel_d1_48_std,0.0012214063
logmel50_mean,0.0012200626
logmel_d1_33_std,0.0012152841
logmel_d1_13_mean,0.0012022025
spec_contrast06_std,0.001196645
logmel_d2_06_std,0.0011892746
logmel42_mean,0.0011784864
logmel_d2_26_mean,0.0011736046
logmel19_std,0.0011733476
logmel_d2_16_std,0.0011724362
logmel_d2_41_mean,0.0011674088
logmel_d1_04_mean,0.0011542287
spec_contrast02_std,0.0011303641
